No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,834.0,718.0,784.0,788.0
2,923.0,812.0,784.0,845.0
3,919.0,869.0,783.0,927.0
4,828.0,799.0,777.0,942.0
5,915.0,866.0,771.0,927.0
6,717.0,844.0,769.0,927.0
7,902.0,535.0,766.0,943.0
8,716.0,806.0,763.0,940.0
9,859.0,744.0,768.0,928.0
10,888.0,479.0,759.0,938.0
11,888.0,374.0,759.0,770.0
,,,,
No.of.Active.Links,L2 TCP UL(Mbps),L2 TCP DL(Mbps),L2 UDP UL(Mbps),L2 UDP DL(Mbps)
1,919.0,868.0,954.0,915.0
2,909.0,874.0,954.0,866.0
3,922.0,867.0,953.0,915.0
4,926.0,848.0,951.0,910.0
5,921.0,853.0,950.0,900.0
6,914.0,823.0,944.0,897.0
7,927.0,794.0,938.0,894.0
8,923.0,711.0,942.0,911.0
9,910.0,698.0,938.0,901.0
10,688.0,564.0,938.0,861.0
11,883.0,697.0,945.0,887.0
